vehicle_id,customer_id,vin,registration_number,vehicle_class,powertrain,make,model,model_year,current_odometer_km
30000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000001,VINDEMO00000000001,KA01AV1001,PASSENGER,ICE,Demo Motors,City Prime,2022,50360
30000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000002,VINDEMO00000000002,KA01AV1002,PASSENGER,ICE,Demo Motors,Urban X,2021,61200
30000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000003,VINDEMO00000000003,KA01AV1003,PASSENGER,EV,Voltline,Eclipse,2024,19200
30000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000004,VINDEMO00000000004,KA02AV2001,PASSENGER,ICE,Demo Motors,City Prime,2020,78450
30000000-0000-4000-8000-000000000005,20000000-0000-4000-8000-000000000005,VINDEMO00000000005,KA02AV2002,PASSENGER,HYBRID,Demo Motors,Hybrid One,2023,30100
30000000-0000-4000-8000-000000000006,20000000-0000-4000-8000-000000000006,VINDEMO00000000006,KA03AV3001,LCV,ICE,NorthFleet,Cargo Lite,2022,92100
30000000-0000-4000-8000-000000000007,20000000-0000-4000-8000-000000000007,VINDEMO00000000007,KA03AV3002,PASSENGER,ICE,Demo Motors,Urban X,2019,104200
30000000-0000-4000-8000-000000000008,20000000-0000-4000-8000-000000000008,VINDEMO00000000008,KA03AV3003,TWO_WHEELER,ICE,Demo TwoWheel,Street 250,2021,27400
30000000-0000-4000-8000-000000000009,20000000-0000-4000-8000-000000000009,VINDEMO00000000009,KA03AV3004,PASSENGER,EV,Voltline,Eclipse,2023,38950
30000000-0000-4000-8000-000000000010,,VINDEMO00000000010,KA01AV9999,PASSENGER,ICE,Demo Motors,City Prime,2020,66500
